                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2306,                 1.4189,                 1.2419,                 0.6682,                0.52322,                0.61338,                0.45164,                 1.0849,                 1.1253,                 1.1261,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1559,                 1.3518,                 1.2002,                0.67276,                0.56965,                 0.6369,                0.47252,                 1.0707,                 1.0971,                 1.1193,             1.6083e-05,             1.6083e-05,             1.6083e-05
                      3,                  1.167,                 1.2799,                 1.1944,                0.67343,                0.57392,                0.65152,                0.48569,                 1.0626,                 1.0757,                 1.1135,             2.1951e-05,             2.1951e-05,             2.1951e-05
                      4,                 1.1465,                 1.2995,                 1.1995,                 0.6742,                0.59841,                0.66993,                0.49533,                 1.0538,                 1.0496,                 1.1072,             2.5934e-05,             2.5934e-05,             2.5934e-05
                      5,                 1.1121,                 1.2338,                 1.1665,                 0.6803,                0.61219,                0.68106,                0.50255,                 1.0483,                 1.0294,                  1.102,             2.8032e-05,             2.8032e-05,             2.8032e-05
                      6,                 1.1023,                 1.2015,                 1.1659,                0.71132,                0.63348,                0.69685,                0.51349,                 1.0435,                 1.0136,                 1.0967,             2.8245e-05,             2.8245e-05,             2.8245e-05
                      7,                 1.1045,                 1.1928,                 1.1606,                0.69206,                0.64393,                0.70195,                0.51617,                 1.0412,                 1.0026,                 1.0932,             2.6573e-05,             2.6573e-05,             2.6573e-05
                      8,                 1.0973,                 1.1917,                 1.1533,                0.68046,                0.67368,                0.70741,                0.52173,                 1.0371,                0.99201,                 1.0899,             2.3016e-05,             2.3016e-05,             2.3016e-05
                      9,                 1.1189,                 1.1963,                 1.1897,                0.68625,                0.67861,                 0.7116,                0.52799,                 1.0333,                0.97905,                 1.0872,             1.7574e-05,             1.7574e-05,             1.7574e-05
                     10,                 1.0784,                 1.1467,                 1.1631,                0.68513,                0.67982,                0.71038,                0.52826,                 1.0308,                0.97625,                 1.0858,             1.0247e-05,             1.0247e-05,             1.0247e-05
