                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3414,                 1.4648,                0.87769,                0.70557,                0.45741,                0.51003,                0.29353,                 1.1664,                 1.0306,                0.84009,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.2935,                0.86453,                0.84703,                0.82363,                0.54817,                0.62603,                0.38307,                 1.0666,                0.81803,                0.83262,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2474,                0.79382,                0.83999,                0.79039,                0.62253,                0.68847,                 0.4499,                 1.0177,                 0.7449,                0.83155,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.1627,                 0.7391,                0.84337,                0.71208,                0.60828,                0.61797,                0.38993,                 1.0864,                 0.8834,                0.83886,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1973,                0.69516,                0.84496,                0.76049,                 0.6265,                0.69302,                0.44629,                0.96258,                0.60751,                0.83026,              0.0012129,              0.0012129,              0.0012129
                      6,                   1.12,                0.63194,                0.83234,                 0.8618,                0.68827,                0.75708,                0.47399,                 0.9565,                0.60515,                0.82711,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.0586,                0.60416,                0.82656,                0.87493,                0.66148,                0.76182,                0.49956,                0.91357,                 0.5424,                0.82486,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.0897,                0.59885,                0.82221,                0.88213,                0.64187,                0.74465,                0.46783,                 1.0291,                0.56601,                0.83001,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.0325,                0.57652,                0.82167,                0.79663,                0.73541,                0.77137,                0.51468,                0.87407,                0.50991,                0.81941,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.0736,                0.57019,                0.82159,                0.88156,                0.64603,                0.74174,                0.49498,                 1.0025,                0.52588,                0.82271,               0.001151,               0.001151,               0.001151
                     11,                 1.0485,                0.55014,                0.82073,                0.81768,                0.70941,                0.76656,                0.51117,                0.93391,                0.51528,                0.82741,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.0454,                 0.5546,                0.82451,                0.92234,                0.67337,                0.76177,                0.52596,                 0.8964,                 0.5196,                0.82202,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.0329,                0.54711,                0.82015,                0.78685,                0.69655,                0.76191,                0.49799,                0.97629,                0.53101,                0.82567,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.0618,                0.56736,                0.81776,                0.89522,                0.66281,                0.74632,                0.50199,                0.91921,                0.51098,                0.82087,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.0401,                0.55653,                0.81811,                0.82362,                0.73894,                0.77545,                0.52295,                0.89272,                0.47748,                0.81966,              0.0010891,              0.0010891,              0.0010891
                     16,                 0.9899,                0.52479,                0.81766,                0.89635,                0.68423,                0.75978,                0.53293,                0.89667,                0.46329,                0.81686,              0.0010768,              0.0010768,              0.0010768
                     17,                0.98901,                0.52882,                0.81586,                0.86706,                 0.7074,                0.76672,                 0.5104,                0.96846,                0.50047,                0.82141,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.0961,                0.57345,                 0.8184,                0.84073,                0.73207,                0.77673,                0.51899,                0.88152,                0.47858,                0.81856,               0.001052,               0.001052,               0.001052
                     19,                0.96664,                0.50933,                0.81509,                0.87486,                0.71009,                0.76389,                0.52687,                 0.8668,                0.50545,                0.81461,              0.0010396,              0.0010396,              0.0010396
                     20,                0.91613,                0.49546,                0.81254,                0.90995,                0.67933,                0.77172,                 0.5408,                0.82072,                0.45021,                0.81351,              0.0010273,              0.0010273,              0.0010273
                     21,                  0.958,                0.50257,                0.81266,                0.83355,                0.73465,                0.77242,                0.52518,                0.88199,                0.46271,                0.81402,              0.0010149,              0.0010149,              0.0010149
                     22,                 0.9332,                0.49173,                0.81173,                0.85734,                 0.7151,                0.77559,                0.53776,                0.83837,                 0.4565,                0.81599,              0.0010025,              0.0010025,              0.0010025
                     23,                0.90618,                0.47084,                0.80615,                0.82061,                0.75978,                0.79977,                0.55823,                0.80443,                0.44744,                0.81328,             0.00099013,             0.00099013,             0.00099013
                     24,                 0.9243,                0.47987,                0.80592,                0.94196,                0.72438,                0.80317,                0.55715,                0.79815,                0.43582,                0.81185,             0.00097775,             0.00097775,             0.00097775
